author,title,description,url,publishedAt,source,language
"RT en Español
 , RT en Español",Kissinger: Las promesas de admitir a Ucrania en la OTAN provocaron el conflicto con Rusia,"Asimismo, el exsecretario de Estado de EE.UU. considera que Crimea no debe volver a formar parte del territorio ucraniano.",https://actualidad.rt.com/actualidad/468343-kissinger-promesas-otan-admitir-ucrania,2023-05-27T09:02:08Z,RT,es
"RT en Español
 , RT en Español",Reportan que Johnson trató de persuadir a Trump para que apoye a Ucrania,"El ex primer ministro británico participó en un evento privado este lunes en Dallas, EE.UU.",https://actualidad.rt.com/actualidad/468337-johnson-tratar-persuadir-trump-apoyar-ucrania,2023-05-27T04:44:30Z,RT,es
"RT en Español
 , RT en Español",Ucrania ataca un distrito fronterizo ruso dejando un muerto y varios heridos (FOTOS),,https://actualidad.rt.com/actualidad/468385-ucrania-atacar-distrito-fronterizo-rusia-muerto-heridos,2023-05-27T14:59:52Z,RT,es
"RT en Español
 , RT en Español","Pekín seguirá ""en el lado correcto de la historia"" en su esfuerzo por buscar la paz","El representante especial de Pekín para asuntos euroasiáticos, Li Hui, se reunió este viernes en Moscú con el canciller ruso, Serguéi Lavrov.",https://actualidad.rt.com/actualidad/468368-pekin-lado-historia-esfuerzos-paz-europa,2023-05-27T13:48:29Z,RT,es
"RT en Español
 , RT en Español",Rusia intercepta otros dos misiles de crucero Storm Shadow,,https://actualidad.rt.com/actualidad/468375-rusia-intercepta-misiles-storm-shadow-largo-alcance,2023-05-27T12:52:06Z,RT,es
"RT en Español
 , RT en Español","Berlín asegura que ""no tiene datos"" de las armas con uranio altamente tóxico en Ucrania y Moscú responde","""Si abandonaron el átomo pacífico absolutamente seguro porque temían la radiación y las amenazas toxicológicas, ¿cómo pueden apoyar el uso de armas con uranio empobrecido en combate real?"", cuestionó la vocera de la Cancillería rusa.",https://actualidad.rt.com/actualidad/468252-uranio-toxico-ucrania-francia-zajarova,2023-05-27T08:58:32Z,RT,es
"RT en Español
 , RT en Español","Lavrov sobre los planes de matar a Putin: ""Los titiriteros en Washington y Londres deben responder""","El presidente ruso encabeza la lista de personas a ser asesinadas por las fuerzas de Kiev, según reveló esta semana el subjefe de una agencia de inteligencia ucraniana.",https://actualidad.rt.com/actualidad/468370-lavrov-planes-matar-putin-titeristas-deber-responder,2023-05-27T14:58:16Z,RT,es
"RT en Español
 , RT en Español",Presidente de Serbia: Nosotros decidimos a quién y cuándo imponer sanciones,"""Este país lo gobierna el pueblo que elige a sus representantes, nosotros tomamos nuestras propias decisiones"", declaró.",https://actualidad.rt.com/actualidad/468323-presidente-serbia-gobierna-pueblo-decidir-sanciones,2023-05-27T00:32:26Z,RT,es
"RT en Español
 , RT en Español",Condecoran al piloto ruso que preservó su avión tras sufrir el impacto de un misil ucraniano,,https://actualidad.rt.com/actualidad/468364-condecorar-piloto-ruso-preservar-avion-impacto-misil-ucrania,2023-05-27T10:27:22Z,RT,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.",EU “no saldrá impune” de sus intentos por lanzar una tercera guerra mundial: Rusia,"Moscú. El ministro de Exteriores ruso, Serguéi Lavrov, afirmó ayer que Estados Unidos actúa como si estuviera seguro de que saldrá impune del conflicto con Ucrania y advirtió, al recibir al emisario de China para Asuntos Euroasiáticos, Li Hui, en Moscú, que W…",https://www.jornada.com.mx/2023/05/27/mundo/020n1mun,2023-05-27T08:27:25Z,Jornada.com.mx,es
A.Pérez,"Ucrania insinúa el inicio de la contraofensiva de forma inminente: ""Es el momento de recuperar lo nuestro""","""Ucrania, mi patria natal, Señor, bendice nuestra ofensiva decisiva, nuestra sagrada venganza, nuestra santa victoria"", proclama el jefe del ejército.",https://www.elespanol.com/mundo/europa/20230527/ucrania-insinua-inicio-contraofensiva-inminente-momento-recuperar/766923430_0.html,2023-05-27T18:47:00Z,Elespanol.com,es
Nuria Aguilar,Qué son los corredores de hidrógeno y por qué importan tanto para el futuro de la movilidad eléctrica,La guerra en Ucrania nos ha influido a todos en mayor o menor medida. En Europa hemos sufrido una subida de precio bastante elevada en cosas como el gas o la gasolina. Esto nos ha hecho abrir los ojos y ver que no podemos depender de un solo país en cuanto a …,https://www.diariomotor.com/que-es/corredor-hidrogeno/,2023-05-27T06:05:17Z,Diariomotor.com,es
Agencias,España se resiste a la formación de pilotos ucranianos pese a que países que tampoco tienen F-16 sí darán el paso,"MADRID, 27 (EUROPA PRESS) España ha evitado hasta la fecha comprometerse en la formación de pilotos ucranianos bajo el argumento de que no dispone del avión de combate F-16, el que será enviado a Kiev para su defensa aérea ante el ataque...",https://www.elconfidencialdigital.com/articulo/ultima-hora/espana-resiste-formacion-pilotos-ucranianos-pese-que-paises-que-tampoco-tienen-f-16-daran-paso/20230527111245577399.html,2023-05-27T09:12:45Z,Elconfidencialdigital.com,es
Deutsche Welle (www.dw.com),Rusia: 2 muertos en ataques en zonas fronterizas con Ucrania,"Las víctimas son un guardia de una empresa bombardeada y un hombre que fortificaba las defensas de la región. Hay también varios heridos. Las autoridades regionales rusas de Belgorod y Kursk, fronterizas con Ucrania, informaron este sábado (27.05.2023) que do…",https://www.dw.com/es/rusia-2-muertos-en-ataques-en-zonas-fronterizas-con-ucrania/a-65754350,2023-05-27T18:22:00Z,DW (English),es
Irene Castro,"""Puedes correr pero no esconderte"": el aviso de la UE a Twitter por salir del código de buenas prácticas contra la desinformación","Elon Musk vuelve a enfadar a la UE. La decisión de que Twitter abandone el código de buenas prácticas contra la desinformación no ha sentado bien en Bruselas, desde donde advierten al magnate de que la adhesión a ese texto era voluntaria pero que dentro de po…",https://www.eldiario.es/tecnologia/puedes-correr-no-esconderte-aviso-ue-twitter-salir-codigo-buenas-practicas-desinformacion_1_10243331.html,2023-05-27T11:20:13Z,Eldiario.es,es
Carlos Ramos,"Estas son las nacionales de los inmigrantes que explican el aumento de población en España, según el INE","<![CDATA[<p>La población española ha sobrepasado los 48 millones de personas. Así lo afirma los datos del primer trimestre en España del Instituto Nacional de Estadística (INE), que determinan que son 48,1 millones las personas que residen en nuestro país, un…",https://www.huffingtonpost.es/sociedad/son-nacionales-inmigrantes-explican-aumento-poblacion-espan-inebr.html,2023-05-27T03:30:00Z,Huffingtonpost.es,es
