author,title,description,url,publishedAt,source,language
Carlos Prego,"La guerra de Ucrania generó una crisis energética histórica. En el camino, también disparó las renovables","""No hay nada que la guerra haya conseguido que no hubiéramos podido lograr mejor sin ella"", decía hace ya un buen puñado de décadas el ensayista y médico británico Havelock Ellis. Con esa premisa clara, al echar la vista atrás y analizar las múltiples derivad…",https://www.xataka.com/energia/guerra-ucrania-genero-crisis-energetica-historica-camino-tambien-disparo-a-renovables,2023-05-28T15:30:45Z,Xataka.com,es
Gonzalo Jimenez,Última hora y noticias en vivo de la guerra de Rusia en Ucrania,"Más de 40 aviones no tripulados rusos fueron derribados durante la noche sobre Kyiv, según informaron funcionarios de la administración militar de la ciudad. Se reportan al menos dos muertos y dos heridos.",https://cnnespanol.cnn.com/2023/05/28/ultima-hora-noticias-en-vivo-guerra-rusia-ucrania-43-trax/,2023-05-28T10:30:14Z,CNN,es
Fernando Hernandez,Respuesta contundente de Rusia por la entrada del F-16 a la guerra,"<![CDATA[<p>La petición de Ucrania a Occidente respecto al envío de los cazas F-16 y la respuesta dubitativa por parte de algunos de los países aliados, está generando todo tipo de reacciones contrarias en el seno del gobierno de Putin, que durante esta seman…",https://www.huffingtonpost.es/global/respuesta-contundente-rusia-entrada-f16-guerrabr.html,2023-05-28T18:01:53Z,Huffingtonpost.es,es
"RT en Español
 , RT en Español",Zelenski propone imponer sanciones a Irán por un plazo de 50 años,"La iniciativa surge en medio de las constantes acusaciones de Kiev contra Teherán por suministrar, supuestamente, drones y armas a Rusia en el marco del conflicto.",https://actualidad.rt.com/actualidad/468433-zelenski-propuesta-sanciones-iran-50-anos,2023-05-28T13:03:37Z,RT,es
"RT en Español
 , RT en Español",Ucrania lanza 241 obuses contra una región fronteriza de Rusia y causa un muerto y tres heridos,,https://actualidad.rt.com/actualidad/468427-fuego-artilleria-ucrania-muerto-heridos-belgorod,2023-05-28T10:35:31Z,RT,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.",Svitolina vence a Blinkova y dona el premio a Ucrania,"Madrid. La tenista ucrania Elina Svitolina conquistó el torneo WTA de Estrasburgo al superar a la rusa Anna Blinkova (6-2 y 6-3), su primer título desde que volvió a las pistas tras ser madre y el número 17 en su carrera. Dejó de jugar el año pasado por la in…",https://www.jornada.com.mx/2023/05/28/deportes/a11n4dep,2023-05-28T08:34:57Z,Jornada.com.mx,es
"DEMOS, Desarrollo de Medios, S.A. de C.V.",Ucrania bombardea Rusia con drones; ataca dos instalaciones de oleoductos,"Moscú. Una serie de bombardeos con drones ucranios se registraron ayer en distintas regiones rusas, entre ellos a una estación del oleoducto de Druzhba, y a un edificio administrativo de una estación de bombeo de petróleo en la provincia rusa de Pskov, además…",https://www.jornada.com.mx/2023/05/28/mundo/016n1mun,2023-05-28T08:34:57Z,Jornada.com.mx,es
"RT en Español
 , RT en Español",Filtran desde Bruselas por qué se atascó el nuevo paquete de sanciones europeas contra Rusia,"Según diplomáticos de la UE, las objeciones cruciales provienen de dos miembros del bloque.",https://actualidad.rt.com/actualidad/468418-diplomaticos-tanda-sanciones-ue-rusia,2023-05-28T08:31:24Z,RT,es
"RT en Español
 , RT en Español",La china UnionPay supera por primera vez a Visa en cuota del mercado global de tarjetas de débito,"Mastercard es el tercer sistema de pago más popular del mundo, a gran distancia de sus dos rivales.",https://actualidad.rt.com/actualidad/468441-china-unionpay-supera-visa-mercado-tarjetas-debito,2023-05-28T15:19:30Z,RT,es
Deutsche Welle (www.dw.com),Cómo China y Rusia redoblan sus relaciones bilaterales,"Bajo la presión de Occidente, Pekín ha reforzado su estrecha asociación con Moscú en las últimas semanas. Expertos dicen que Beijing todavía está tratando de usar un ""enfoque de doble vía"" para maximizar sus intereses. Funcionarios de alto nivel de China y Ru…",https://www.dw.com/es/c%C3%B3mo-china-y-rusia-redoblan-sus-relaciones-bilaterales/a-65759134,2023-05-28T14:46:00Z,DW (English),es
